,Director(s),Star(s),Votes,Gross,Language(s),Country_of_origin,Production_companies,Poster_image,Release_date,Title,Imdb_rating,Duration,Genre,Summary,MPA_rating
16, Ridley Scott ,"[' Matt Damon', ' Adam Driver', ' Jodie Comer', ' Harriet Walter']"," 92,050",,"['English', 'German', 'French', 'Latin']","['United States', 'United Kingdom']","['20th Century Studios', 'Pearl Street Films', 'Scott Free Productions']",https://m.media-amazon.com/images/M/MV5BZGExZTUzYWQtYWJjZi00OTI4LTk4OGYtNTA2YzcwMmNiZTMxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2021-10-15,The Last Duel,['7.4'],['152 min'],"['Action, Drama, History']",['King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.'],
17, Lin-Manuel Miranda ,"[' Andrew Garfield', ' Alexandra Shipp', ' Robin de Jesus', ' Vanessa Hudgens']"," 57,487",,['English'],['United States'],"['5000 Broadway Productions', 'Imagine Entertainment']",https://m.media-amazon.com/images/M/MV5BZmMyMmE0M2UtN2E2MC00YzVmLTkwODgtOTVhYjVlOTBhY2RjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,2021-11-19,"tick, tick...BOOM!",['7.6'],['115 min'],"['Biography, Drama, Musical']","['On the cusp of his 30th birthday, a promising young theater composer navigates love, friendship and the pressures of life as an artist in New York City.']",
18, Sukumar ,"[' Allu Arjun', ' Fahadh Faasil', ' Rashmika Mandanna', ' Dhananjaya']"," 31,709",,"['Telugu', 'Hindi', 'Tamil', 'Kannada', 'Malayalam']",['India'],"['Mythri Movie Makers', 'Muttamsetty Media']",https://m.media-amazon.com/images/M/MV5BMmQ4YmM3NjgtNTExNC00ZTZhLWEwZTctYjdhOWI4ZWFlMDk2XkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_.jpg,2022-01-07,Pushpa: The Rise - Part 1,['8.0'],['179 min'],"['Action, Adventure, Crime']","['Story of Pushpa Raj, a lorry driver in Seshachalam forests of South India, set in the backdrop of red sandalwood smuggling. Red Sandalwood is endemic to South-Eastern Ghats (mountain range) of India.']",
19, Cary Joji Fukunaga ,"[' Daniel Craig', ' Ana de Armas', ' Rami Malek', ' Léa Seydoux']"," 288,804 ", $160.77M,"['English', 'French', 'Italian', 'Russian', 'Spanish', 'German']","['United Kingdom', 'United States']","['Metro-Goldwyn-Mayer (MGM)', 'Universal Pictures', 'Eon Productions']",https://m.media-amazon.com/images/M/MV5BYWQ2NzQ1NjktMzNkNS00MGY1LTgwMmMtYTllYTI5YzNmMmE0XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_.jpg,2021-10-08,No Time to Die,['7.4'],['163 min'],"['Action, Adventure, Thriller']","['James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.']",
20, Steven Spielberg ,"[' Ansel Elgort', ' Rachel Zegler', ' Ariana DeBose', ' David Alvarez']"," 25,345",,"['English', 'Spanish']",['United States'],"['20th Century Studios', 'Amblin Entertainment', 'Amblin Partners']",https://m.media-amazon.com/images/M/MV5BMzQ5ZDZhZDItZTNmZi00MWQ0LWJlNDUtZTE4ZWJmODNlM2Y3XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,2021-12-10,West Side Story,['7.8'],['156 min'],"['Crime, Drama, Musical']","['An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.']",
21, Nora Fingscheidt ,"[' Sandra Bullock', ' Viola Davis', "" Vincent D'Onofrio"", ' Jon Bernthal']"," 82,097",,['English'],"['United Kingdom', 'Germany', 'United States']","['Construction Film', 'Fortis Films', 'GK Films']",https://m.media-amazon.com/images/M/MV5BM2M5MTJmOTEtNWU1Yy00NDNmLWI3MjMtNzFkN2FiZjE5Njg3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2021-12-10,The Unforgivable,['7.2'],['112 min'],"['Crime, Drama']",['A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.'],
22, Wes Anderson ,"[' Benicio Del Toro', ' Adrien Brody', ' Tilda Swinton', ' Léa Seydoux']"," 66,744",,"['English', 'French']","['United States', 'Germany']","['American Empirical Pictures', 'Indian Paintbrush', 'Studio Babelsberg']",https://m.media-amazon.com/images/M/MV5BNmQxZTNiODYtNzBhYy00MzVlLWJlN2UtNTc4YWZjMDIwMmEzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-10-22,The French Dispatch,['7.3'],['107 min'],"['Comedy, Drama, Romance']","['A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".']",
23, Guillermo del Toro ,"[' Bradley Cooper', ' Cate Blanchett', ' Toni Collette', ' Willem Dafoe']"," 7,667",,['English'],"['United States', 'Mexico']","['Fox Searchlight Pictures', 'Double Dare You (DDY)', 'Searchlight Pictures']",https://m.media-amazon.com/images/M/MV5BOTI4NDhhNGEtZjQxZC00ZTRmLThmZTctOGJmY2ZlOTc0ZGY0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-12-17,Nightmare Alley,['7.4'],['150 min'],"['Crime, Drama, Thriller']",['An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.'],
24, James Gunn ,"[' Margot Robbie', ' Idris Elba', ' John Cena', ' Joel Kinnaman']"," 286,138",,['English'],['United States'],"['Warner Bros.', 'DC Entertainment', 'Atlas Entertainment']",https://m.media-amazon.com/images/M/MV5BNGM3YzdlOWYtNjViZS00MTE2LWE1MWUtZmE2ZTcxZjcyMmU3XkEyXkFqcGdeQXVyODEyMTI1MjA@._V1_.jpg,2021-08-05,The Suicide Squad,['7.2'],['132 min'],"['Action, Adventure, Comedy']","['Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.']",
25, Ridley Scott ,"[' Lady Gaga', ' Adam Driver', ' Al Pacino', ' Jeremy Irons']"," 47,698",,"['English', 'Italian', 'Arabic', 'French', 'Japanese']","['United States', 'Canada']","['BRON Studios', 'Metro-Goldwyn-Mayer (MGM)', 'Scott Free Productions']",https://m.media-amazon.com/images/M/MV5BYzdlMTMyZWQtZWNmMC00MTJiLWIyMWMtM2ZlZDdlYzZhNTc0XkEyXkFqcGdeQXVyMTMzNDE5NDM2._V1_.jpg,2021-11-24,House of Gucci,['6.9'],['158 min'],"['Crime, Drama']","['When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder.']",
26, Aaron Sorkin ,"[' Nicole Kidman', ' Javier Bardem', ' J.K. Simmons', ' Nina Arianda']"," 21,694",,['English'],['United States'],"['Escape Artists', 'Big Indie Pictures', 'Amazon Studios']",https://m.media-amazon.com/images/M/MV5BNDlmZDU5MmUtNWFmMy00OTQ1LTk1YTctOTI3ZmU1YzZiYmZmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,2021-12-21,Being the Ricardos,['6.6'],['131 min'],"['Biography, Drama, History']",['Follows Lucy and Desi as they face a crisis that could end their careers and another that could end their marriage.'],
27, Destin Daniel Cretton ,"[' Simu Liu', ' Awkwafina', ' Tony Chiu-Wai Leung', ' Ben Kingsley']"," 295,997",,"['English', 'Mandarin']",['United States'],"['Walt Disney Pictures', 'Marvel Studios']",https://m.media-amazon.com/images/M/MV5BNTliYjlkNDQtMjFlNS00NjgzLWFmMWEtYmM2Mzc2Zjg3ZjEyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-09-03,Shang-Chi and the Legend of the Ten Rings,['7.5'],['132 min'],"['Action, Adventure, Fantasy']","['Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.']",
28, Andy Serkis ,"[' Tom Hardy', ' Woody Harrelson', ' Michelle Williams', ' Naomie Harris']"," 158,721 ", $212.53M,['English'],['United States'],"['Marvel Entertainment', 'Pascal Pictures', 'Sony Pictures Entertainment (SPE)']",https://m.media-amazon.com/images/M/MV5BYTc3ZTAwYTgtMmM4ZS00MDRiLWI2Y2EtYmRiZmE0YjkzMGY1XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,2021-10-01,Venom: Let There Be Carnage,['6.0'],['97 min'],"['Action, Adventure, Sci-Fi']","['Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.']",
29, Pablo Larraín ,"[' Kristen Stewart', ' Timothy Spall', ' Jack Nielen', ' Freddie Spry']"," 30,359",,['English'],"['United Kingdom', 'Germany', 'United States', 'Chile']","['Shoebox Films', 'Komplizen Film', 'FilmNation Entertainment']",https://m.media-amazon.com/images/M/MV5BMTdkZDc4YmQtYzA3My00NzliLThjN2YtMDIwMDkxY2Y4ODdmXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_.jpg,2021-11-05,Spencer,['6.8'],['117 min'],"['Biography, Drama']","['During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana Spencer, struggling with mental health problems, decides to end her decade-long marriage to Prince Charles.']",
30, Edgar Wright ,"[' Thomasin McKenzie', ' Anya Taylor-Joy', ' Matt Smith', ' Diana Rigg']"," 74,376",,['English'],['United Kingdom'],"['Focus Features International (FFI)', 'Film4', 'Perfect World Pictures']",https://m.media-amazon.com/images/M/MV5BZjgwZDIwY2MtNGZlNy00NGRlLWFmNTgtOTBkZThjMDUwMGJhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2021-10-29,Last Night in Soho,['7.2'],['116 min'],"['Drama, Horror, Mystery']",['An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.'],
31, Kenneth Branagh ,"[' Jude Hill', ' Lewis McAskie', ' Caitriona Balfe', ' Jamie Dornan']"," 15,741",,['English'],['United Kingdom'],['TKBC'],https://m.media-amazon.com/images/M/MV5BODMwYTYyY2ItOWQ5Yi00OTI1LTllYTQtYTdlNWM4YzJhYTM0XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_.jpg,2021-11-12,Belfast,['7.4'],['98 min'],['Drama'],['A young boy and his working-class Belfast family experience the tumultuous late 1960s.'],
32, Shawn Levy ,"[' Ryan Reynolds', ' Jodie Comer', ' Taika Waititi', ' Lil Rel Howery']"," 261,511",,"['English', 'Japanese', 'German']",['United States'],"['20th Century Studios', 'Berlanti Productions', '21 Laps Entertainment']",https://m.media-amazon.com/images/M/MV5BOTY2NzFjODctOWUzMC00MGZhLTlhNjMtM2Y2ODBiNGY1ZWRiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,2021-08-13,Free Guy,['7.2'],['115 min'],"['Action, Adventure, Comedy']","[""A bank teller discovers that he's actually an NPC inside a brutal, open world video game.""]",
33, Rawson Marshall Thurber ,"[' Dwayne Johnson', ' Ryan Reynolds', ' Gal Gadot', ' Ritu Arya']"," 218,116",,"['English', 'Russian', 'Italian', 'Spanish', 'Indonesian']",['United States'],"['Netflix', 'Seven Bucks Productions', 'Flynn Picture Company']",https://m.media-amazon.com/images/M/MV5BZmRjODgyMzEtMzIxYS00OWY2LTk4YjUtMGMzZjMzMTZiN2Q0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-11-12,Red Notice,['6.4'],['118 min'],"['Action, Comedy, Thriller']","[""An Interpol agent tracks the world's most wanted art thief.""]",
34, Johannes Roberts ,"[' Kaya Scodelario', ' Robbie Amell', ' Hannah John-Kamen', ' Tom Hopper']"," 29,723",,['English'],"['Canada', 'Germany']","['Constantin Film', 'Davis Films']",https://m.media-amazon.com/images/M/MV5BNjRmMDUxODctYjg3NC00NDRhLWJhZWItMjg0OTZkMDBjNWUxXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,2021-11-24,Resident Evil: Welcome to Raccoon City,['5.2'],['107 min'],"['Action, Horror, Sci-Fi']","['Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City.']",
35, Tim Fehlbaum ,"[' Nora Arnezeder', ' Iain Glen', ' Sarah-Sofie Boussnina', ' Sope Dirisu']"," 5,681",,['English'],"['Germany', 'Switzerland']","['BerghausWöbke Filmproduktion', 'Vega Film', 'Constantin Film']",https://m.media-amazon.com/images/M/MV5BOGYzYjg5NTQtOGQzZC00N2YxLWIwM2UtNDc1ZTdkYjQzNWZhXkEyXkFqcGdeQXVyMTM0ODMzMDcz._V1_.jpg,2021-08-27,The Colony,['5.4'],['104 min'],"['Action, Adventure, Sci-Fi']","[""Set in the distant future, a female astronaut, shipwrecked on the long-decimated Earth, must decide the fate of the wasteland's remaining populace.""]",
36, Reinaldo Marcus Green ,"[' Will Smith', ' Aunjanue Ellis', ' Jon Bernthal', ' Saniyya Sidney']"," 37,029",,['English'],['United States'],"['Warner Bros.', 'Star Thrower Entertainment', 'Westbrook Studios']",https://m.media-amazon.com/images/M/MV5BYTcyNmY4ZGEtYmE4Zi00ZDViLTlmYzMtMmQ4ZTM4OWNmZjQxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-11-19,King Richard,['7.6'],['144 min'],"['Biography, Drama, Sport']",['A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.'],
37, Patrick Hughes ,"[' Ryan Reynolds', ' Samuel L. Jackson', ' Salma Hayek', ' Antonio Banderas']"," 70,240",,"['English', 'Spanish', 'Japanese', 'Russian']","['United Kingdom', 'United States']","['Millennium Media', 'Summit Entertainment', 'Campbell Grobman Films']",https://m.media-amazon.com/images/M/MV5BNGQ2MGQ1ZGQtOTY4MS00ZDA5LWE5YmUtMGE0YTE2YTZiODZkXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_.jpg,2021-06-16,Hitman's Wife's Bodyguard,['6.1'],['100 min'],"['Action, Comedy, Crime']","[""The bodyguard, Michael Bryce, continues his friendship with assassin, Darius Kincaid, as they try to save Darius' wife Sonia.""]",
38, Scott Cooper ,"[' Keri Russell', ' Jesse Plemons', ' Jeremy T. Thomas', ' Graham Greene']"," 20,115",,['English'],"['United States', 'Mexico']","['Fox Searchlight Pictures', 'Phantom Four Films', 'Double Dare You (DDY)']",https://m.media-amazon.com/images/M/MV5BY2UzODAyNjktN2MwYy00M2RkLThiOTEtMjU1MTgxY2EzM2YyXkEyXkFqcGdeQXVyODk5MDA0MDU@._V1_.jpg,2021-10-29,Antlers,['6.0'],['99 min'],"['Drama, Horror, Mystery']","['In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with an ancestral creature.']",
39, Sian Heder ,"[' Emilia Jones', ' Marlee Matlin', ' Troy Kotsur', ' Daniel Durant']"," 36,143",,"['American Sign Language', 'English']","['United States', 'France', 'Canada']","['Vendome Pictures', 'Pathé Films', 'Picture Perfect Federation']",https://m.media-amazon.com/images/M/MV5BNGNmMzJjMTItODA0OC00ZWM0LWJmMTctMDg3MzM2M2Y5NTIyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,2021-08-13,CODA,['8.1'],['111 min'],"['Comedy, Drama, Music']","[""As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music by wanting to go to Berklee College of Music and her fear of abandoning her parents.""]",
40, Paolo Sorrentino ,"[' Filippo Scotti', ' Toni Servillo', ' Teresa Saponangelo', ' Marlon Joubert']"," 23,347",,"['Italian', 'Neapolitan']","['Italy', 'United States']","['The Apartment', 'Netflix', 'Regione Campania']",https://m.media-amazon.com/images/M/MV5BZmE4NzM4YmItOTRkYS00NTEyLThlNDItNzJjMTNlMTgwMzEyXkEyXkFqcGdeQXVyODA0MjgyNzM@._V1_.jpg,2021-12-15,The Hand of God,['7.5'],['130 min'],['Drama'],"['In 1980s Naples, young Fabietto pursues his love for football as family tragedy strikes, shaping his uncertain but promising future as a filmmaker.']",
41, Cate Shortland ,"[' Scarlett Johansson', ' Florence Pugh', ' David Harbour', ' Rachel Weisz']"," 322,800",,"['English', 'Russian', 'Norwegian', 'Hungarian', 'Macedonian', 'Finnish']",['United States'],['Marvel Studios'],https://m.media-amazon.com/images/M/MV5BNjRmNDI5MjMtMmFhZi00YzcwLWI4ZGItMGI2MjI0N2Q3YmIwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-07-09,Black Widow,['6.7'],['134 min'],"['Action, Adventure, Sci-Fi']",['Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.'],
